English;Portuguese
I've been studying English for two years.;Eu estive estudando inglês por dois anos.
I've been working on a new project.;Eu estive trabalhando em um novo projeto.
I've been feeling a bit tired lately.;Eu estive me sentindo um pouco cansado ultimamente.
I've been to London three times.;Eu estive em Londres três vezes.
I've been thinking about you all day.;Eu estive pensando em você o dia todo.
I've been learning how to cook.;Eu estive aprendendo a cozinhar.
I've been waiting for this moment.;Eu estive esperando por este momento.
I've been reading a great book.;Eu estive lendo um livro ótimo.
I've been practicing my guitar skills.;Eu estive praticando minhas habilidades no violão.
I've been saving money for a trip.;Eu estive economizando dinheiro para uma viagem.
I've been busy with work all week.;Eu estive ocupado com o trabalho a semana toda.
I've been trying to stay positive.;Eu estive tentando manter uma atitude positiva.
I've been watching a new TV series.;Eu estive assistindo a uma nova série de TV.
I've been exercising every morning.;Eu estive me exercitando todas as manhãs.
I've been dreaming of a vacation.;Eu estive sonhando com férias.
I've been helping my friend move.;Eu estive ajudando meu amigo a se mudar.
I've been planning a surprise party.;Eu estive planejando uma festa surpresa.
I've been listening to classical music.;Eu estive ouvindo música clássica.
I've been writing a journal every night.;Eu estive escrevendo um diário todas as noites.
I've been exploring the city.;Eu estive explorando a cidade.
I've been feeling very happy today.;Eu estive me sentindo muito feliz hoje.
I've been working out at the gym.;Eu estive malhando na academia.
I've been studying for my exams.;Eu estive estudando para meus exames.
I've been painting my house.;Eu estive pintando minha casa.
I've been volunteering at a shelter.;Eu estive fazendo trabalho voluntário em um abrigo.
I've been thinking about changing jobs.;Eu estive pensando em mudar de emprego.
I've been learning a new language.;Eu estive aprendendo uma nova língua.
I've been gardening every weekend.;Eu estive fazendo jardinagem todos os fins de semana.
I've been attending yoga classes.;Eu estive frequentando aulas de ioga.
I've been baking cookies for my family.;Eu estive assando biscoitos para minha família.
I've been traveling across Europe.;Eu estive viajando pela Europa.
I've been feeling under the weather.;Eu estive me sentindo indisposto.
I've been organizing my closet.;Eu estive organizando meu armário.
I've been teaching my dog new tricks.;Eu estive ensinando novos truques ao meu cachorro.
I've been renovating my kitchen.;Eu estive reformando minha cozinha.
I've been enjoying the sunny weather.;Eu estive aproveitando o clima ensolarado.
I've been writing a novel.;Eu estive escrevendo um romance.
I've been collaborating on a team project.;Eu estive colaborando em um projeto de equipe.
I've been looking for a new apartment.;Eu estive procurando um novo apartamento.
I've been playing video games all night.;Eu estive jogando videogame a noite toda.
I've been practicing meditation.;Eu estive praticando meditação.
I've been cleaning the house.;Eu estive limpando a casa.
I've been attending a book club.;Eu estive participando de um clube do livro.
I've been learning to knit.;Eu estive aprendendo a tricotar.
I've been preparing for a marathon.;Eu estive me preparando para uma maratona.
I've been visiting my grandparents.;Eu estive visitando meus avós.
I've been designing a website.;Eu estive projetando um site.
I've been experimenting with new recipes.;Eu estive experimentando novas receitas.
I've been hiking in the mountains.;Eu estive caminhando nas montanhas.
I've been taking online courses.;Eu estive fazendo cursos online.
I've been catching up with old friends.;Eu estive me atualizando com velhos amigos.
I've been decorating my room.;Eu estive decorando meu quarto.
I've been researching my family history.;Eu estive pesquisando a história da minha família.
I've been practicing public speaking.;Eu estive praticando oratória.
I've been shopping for new clothes.;Eu estive comprando roupas novas.
I've been mentoring a student.;Eu estive orientando um estudante.
I've been planning my wedding.;Eu estive planejando meu casamento.
I've been attending art classes.;Eu estive frequentando aulas de arte.
I've been swimming every evening.;Eu estive nadando todas as noites.
I've been negotiating a deal.;Eu estive negociando um acordo.
I've been learning about photography.;Eu estive aprendendo sobre fotografia.
I've been building a model airplane.;Eu estive construindo um modelo de avião.
I've been analyzing data for a report.;Eu estive analisando dados para um relatório.
I've been teaching English to kids.;Eu estive ensinando inglês para crianças.
I've been updating my resume.;Eu estive atualizando meu currículo.
I've been exploring new hobbies.;Eu estive explorando novos hobbies.
I've been attending therapy sessions.;Eu estive frequentando sessões de terapia.
I've been cycling around the city.;Eu estive pedalando pela cidade.
I've been managing a new team.;Eu estive gerenciando uma nova equipe.
I've been practicing mindfulness.;Eu estive praticando atenção plena.
I've been repairing my car.;Eu estive consertando meu carro.
I've been fundraising for charity.;Eu estive arrecadando fundos para caridade.
I've been preparing a presentation.;Eu estive preparando uma apresentação.
