English;Portuguese
I've finished my homework.;Eu terminei minha lição de casa.
I've seen that movie before.;Eu já vi aquele filme antes.
I've visited London twice.;Eu visitei Londres duas vezes.
I've lost my keys.;Eu perdi minhas chaves.
I've read this book.;Eu li este livro.
I've never been to Japan.;Eu nunca fui ao Japão.
I've just arrived.;Eu acabei de chegar.
I've bought a new car.;Eu comprei um carro novo.
I've forgotten your name.;Eu esqueci seu nome.
I've met her before.;Eu já a conheci antes.
I've broken my phone.;Eu quebrei meu celular.
I've eaten sushi before.;Eu já comi sushi antes.
I've passed the exam.;Eu passei no exame.
I've found my wallet.;Eu encontrei minha carteira.
I've changed my mind.;Eu mudei de ideia.
I've cleaned my room.;Eu limpei meu quarto.
I've sent the email.;Eu enviei o e-mail.
I've fixed the computer.;Eu consertei o computador.
I've taken a shower.;Eu tomei banho.
I've made a mistake.;Eu cometi um erro.
I've learned a lot.;Eu aprendi muito.
I've decided to stay.;Eu decidi ficar.
I've won the game.;Eu ganhei o jogo.
I've missed the bus.;Eu perdi o ônibus.
I've finished my coffee.;Eu terminei meu café.
I've called you twice.;Eu te liguei duas vezes.
I've traveled to Italy.;Eu viajei para a Itália.
I've started a new job.;Eu comecei um novo emprego.
I've paid the bill.;Eu paguei a conta.
I've chosen the blue one.;Eu escolhi o azul.
I've heard this song.;Eu já ouvi essa música.
I've written a letter.;Eu escrevi uma carta.
I've sold my old bike.;Eu vendi minha bicicleta velha.
I've cooked dinner.;Eu preparei o jantar.
I've watched this show.;Eu assisti a este programa.
I've saved some money.;Eu economizei algum dinheiro.
I've found a solution.;Eu encontrei uma solução.
I've bought groceries.;Eu comprei mantimentos.
I've locked the door.;Eu tranquei a porta.
I've fixed the problem.;Eu resolvi o problema.
I've received your message.;Eu recebi sua mensagem.
I've tried this before.;Eu já tentei isso antes.
I've left my bag at home.;Eu deixei minha bolsa em casa.
I've opened the window.;Eu abri a janela.
I've closed the deal.;Eu fechei o negócio.
I've downloaded the file.;Eu baixei o arquivo.
I've painted the wall.;Eu pintei a parede.
I've watered the plants.;Eu reguei as plantas.
I've answered the question.;Eu respondi à pergunta.
I've booked a table.;Eu reservei uma mesa.
I've checked the news.;Eu verifiquei as notícias.
I've collected the data.;Eu coletei os dados.
I've completed the task.;Eu completei a tarefa.
I've deleted the file.;Eu apaguei o arquivo.
I've designed a logo.;Eu projetei um logo.
I've discovered a secret.;Eu descobri um segredo.
I've earned some money.;Eu ganhei algum dinheiro.
I've entered the room.;Eu entrei na sala.
I've explained the rules.;Eu expliquei as regras.
I've failed the test.;Eu falhei no teste.
I've followed your advice.;Eu segui seu conselho.
I've given a present.;Eu dei um presente.
I've graduated from college.;Eu me formei na faculdade.
I've helped my friend.;Eu ajudei meu amigo.
I've improved my skills.;Eu melhorei minhas habilidades.
I've invited some guests.;Eu convidei alguns convidados.
I've joined the club.;Eu entrei no clube.
I've kept my promise.;Eu mantive minha promessa.
I've known him for years.;Eu o conheço há anos.
I've left my job.;Eu deixei meu emprego.
I've made a reservation.;Eu fiz uma reserva.
I've noticed the difference.;Eu notei a diferença.
I've offered my help.;Eu ofereci minha ajuda.
I've planned the trip.;Eu planejei a viagem.
I've quit smoking.;Eu parei de fumar.
I've remembered the date.;Eu lembrei da data.
I've repaired the car.;Eu consertei o carro.
I've returned the book.;Eu devolvi o livro.
I've solved the puzzle.;Eu resolvi o quebra-cabeça.
I've spoken to the manager.;Eu falei com o gerente.
I've studied all night.;Eu estudei a noite toda.
I've taken a photo.;Eu tirei uma foto.
I've understood the lesson.;Eu entendi a lição.
I've used this app before.;Eu já usei este aplicativo.
I've visited my grandparents.;Eu visitei meus avós.
I've washed the dishes.;Eu lavei a louça.
I've worn this dress before.;Eu já usei este vestido.
