English;Portuguese
I've got a new phone.;Eu tenho um celular novo.
I've got two cats.;Eu tenho dois gatos.
I've got a meeting at noon.;Eu tenho uma reunião ao meio-dia.
I've got a headache today.;Eu estou com dor de cabeça hoje.
I've got a ticket to the concert.;Eu tenho um ingresso para o show.
I've got a great idea.;Eu tenho uma ótima ideia.
I've got some free time.;Eu tenho algum tempo livre.
I've got a cold right now.;Eu estou resfriado agora.
I've got a dog named Max.;Eu tenho um cachorro chamado Max.
I've got a new job.;Eu tenho um emprego novo.
I've got a book to read.;Eu tenho um livro para ler.
I've got a car to sell.;Eu tenho um carro para vender.
I've got a question for you.;Eu tenho uma pergunta para você.
I've got a plan for tonight.;Eu tenho um plano para hoje à noite.
I've got a gift for her.;Eu tenho um presente para ela.
I've got a busy schedule.;Eu tenho uma agenda lotada.
I've got a laptop to fix.;Eu tenho um laptop para consertar.
I've got a coffee to go.;Eu tenho um café para viagem.
I've got a bike to ride.;Eu tenho uma bicicleta para andar.
I've got a test tomorrow.;Eu tenho uma prova amanhã.
I've got a friend in London.;Eu tenho um amigo em Londres.
I've got a reservation at 7.;Eu tenho uma reserva às sete.
I've got a puzzle to solve.;Eu tenho um quebra-cabeça para resolver.
I've got a song stuck in my head.;Eu tenho uma música grudada na cabeça.
I've got a package to send.;Eu tenho um pacote para enviar.
I've got a garden to tend.;Eu tenho um jardim para cuidar.
I've got a recipe to try.;Eu tenho uma receita para experimentar.
I've got a movie to watch.;Eu tenho um filme para assistir.
I've got a shirt to iron.;Eu tenho uma camisa para passar.
I've got a trip planned.;Eu tenho uma viagem planejada.
I've got a camera to use.;Eu tenho uma câmera para usar.
I've got a letter to write.;Eu tenho uma carta para escrever.
I've got a class at 3.;Eu tenho uma aula às três.
I've got a painting to finish.;Eu tenho uma pintura para terminar.
I've got a gym membership.;Eu tenho uma assinatura de academia.
I've got a pair of new shoes.;Eu tenho um par de sapatos novos.
I've got a dinner to cook.;Eu tenho um jantar para preparar.
I've got a project due.;Eu tenho um projeto para entregar.
I've got a book club meeting.;Eu tenho uma reunião do clube do livro.
I've got a haircut scheduled.;Eu tenho um corte de cabelo agendado.
I've got a game to play.;Eu tenho um jogo para jogar.
I've got a call to make.;Eu tenho uma ligação para fazer.
I've got a party to attend.;Eu tenho uma festa para ir.
I've got a scarf to knit.;Eu tenho um cachecol para tricotar.
I've got a map to follow.;Eu tenho um mapa para seguir.
I've got a story to tell.;Eu tenho uma história para contar.
I've got a chair to fix.;Eu tenho uma cadeira para consertar.
I've got a photo to frame.;Eu tenho uma foto para emoldurar.
